series,volume,issue_date,order,title_es,author,feature_type,themes,page_start,page_end,image_count,review,file
7,9,2022-06,06,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia postal y falsificaciones,50,50,1,,serie-7/vol-09/06-el-sobresaliente-de-hoy.md
7,9,2022-06,07,Un sello con historia,Edgardo Alegría Reichmann,sello-con-historia,Historia a través del correo,51,51,1,,serie-7/vol-09/07-un-sello-con-historia.md
7,9,2022-06,08,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,52,null,2,,serie-7/vol-09/08-buzon-de-novedades.md
7,10,2022-12,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,13,,serie-7/vol-10/01-editorial.md
7,10,2022-12,02,El surgimiento y uso del papel sellado,Edgardo Alegría Reichmann,investigacion,,4,21,0,empty-body; heading-image-only,serie-7/vol-10/02-el-surgimiento-y-uso-del-papel-sellado.md
7,10,2022-12,03,En la Capitanía General de Guatemala,Edgardo Alegría Reichmann,investigacion,,22,25,0,empty-body; heading-image-only,serie-7/vol-10/03-en-la-capitania-general-de-guatemala.md
7,10,2022-12,04,Apuntes complementarios,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,26,29,5,,serie-7/vol-10/04-apuntes-complementarios.md
7,10,2022-12,05,Pruebas de la emisión de Arias de 1896,Brian Moorhouse,investigacion,Historia postal y falsificaciones,30,45,10,,serie-7/vol-10/05-pruebas-de-la-emision-de-arias-de-1896.md
7,10,2022-12,06,El caso excepcional del correo encaminado en Honduras,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,46,50,33,,serie-7/vol-10/06-el-caso-excepcional-del-correo-encaminado-en-honduras.md
7,10,2022-12,07,Renuncia don Pío Bustillo,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,51,52,3,,serie-7/vol-10/07-renuncia-don-pio-bustillo.md
7,10,2022-12,08,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,Historia a través del correo,53,53,2,,serie-7/vol-10/08-el-sobresaliente-de-hoy.md
7,10,2022-12,09,Un sello con historia buzón de novedades,Edgardo Alegría Reichmann,sello-con-historia,Historia a través del correo,54,null,7,,serie-7/vol-10/09-un-sello-con-historia-buzon-de-novedades.md
7,11,2023-06,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-7/vol-11/01-editorial.md
7,11,2023-06,02,Una diligencia al servicio del correo,Edgardo Alegría Reichmann,investigacion,Transporte y modernidad,4,33,20,,serie-7/vol-11/02-una-diligencia-al-servicio-del-correo.md
7,11,2023-06,03,Marcas de control sobre los timbres de Honduras,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,34,45,49,,serie-7/vol-11/03-marcas-de-control-sobre-los-timbres-de-honduras.md
7,11,2023-06,04,Se perdió un vestido,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,46,47,6,,serie-7/vol-11/04-se-perdio-un-vestido.md
7,11,2023-06,05,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,,48,49,0,empty-body; heading-image-only,serie-7/vol-11/05-el-sobresaliente-de-hoy.md
7,11,2023-06,06,Un sello con historia,Edgardo Alegría Reichmann,sello-con-historia,Historia a través del correo,50,54,9,,serie-7/vol-11/06-un-sello-con-historia.md
7,11,2023-06,07,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,55,null,4,,serie-7/vol-11/07-buzon-de-novedades.md
7,12,2023-12,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-7/vol-12/01-editorial.md
7,12,2023-12,02,Correspondencia multada,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,4,35,65,,serie-7/vol-12/02-correspondencia-multada.md
7,12,2023-12,03,Falleció christian bostvironois,Edgardo Alegría Reichmann,investigacion,,36,36,0,empty-body; heading-image-only,serie-7/vol-12/03-fallecio-christian-bostvironois.md
7,12,2023-12,04,Iriona ¿una agencia postal descuidada?,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,37,44,14,,serie-7/vol-12/04-iriona-una-agencia-postal-descuidada.md
7,12,2023-12,05,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,,45,45,0,empty-body; heading-image-only,serie-7/vol-12/05-el-sobresaliente-de-hoy.md
7,12,2023-12,06,Un sello con historia,Edgardo Alegría Reichmann,sello-con-historia,Historia a través del correo,46,48,2,,serie-7/vol-12/06-un-sello-con-historia.md
7,12,2023-12,07,Nuestro nuevo socio,Edgardo Alegría Reichmann,investigacion,,49,49,0,empty-body; heading-image-only,serie-7/vol-12/07-nuestro-nuevo-socio.md
7,12,2023-12,08,Buzón de novedades,Edgardo Alegría Reichmann,novedades,Historia a través del correo,50,null,8,,serie-7/vol-12/08-buzon-de-novedades.md
8,1,2024-06,01,Editorial,Edgardo Alegría Reichmann,editorial,,3,3,0,,serie-8/vol-01/01-editorial.md
8,1,2024-06,02,Gemas de la Mosquitia,Edgardo Alegría Reichmann,investigacion,Historia a través del correo,4,38,20,,serie-8/vol-01/02-gemas-de-la-mosquitia.md
8,1,2024-06,03,Raoul Charles de Thuin – una verdadera pesadilla filatélica,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,39,60,13,,serie-8/vol-01/03-raoul-charles-de-thuin-una-verdadera-pesadilla-filatelica.md
8,1,2024-06,04,Italo Ghizzoni en la génesis de la filatelia hondureña,Edgardo Alegría Reichmann,investigacion,Historia postal y falsificaciones,61,67,8,,serie-8/vol-01/04-italo-ghizzoni-en-la-genesis-de-la-filatelia-hondurena.md
8,1,2024-06,05,El Sobresaliente de Hoy,Edgardo Alegría Reichmann,sobresaliente,,68,68,0,empty-body; heading-image-only,serie-8/vol-01/05-el-sobresaliente-de-hoy.md
